iter	Passed	Remaining
0	0	34
1	0	31
2	0	29
3	1	27
4	1	27
5	1	26
6	1	26
7	2	26
8	2	25
9	2	25
10	3	25
11	3	25
12	3	25
13	4	24
14	4	24
15	4	24
16	4	24
17	5	24
18	5	24
19	6	24
20	6	24
21	7	25
22	7	26
23	8	26
24	9	27
25	9	27
26	10	27
27	10	27
28	11	26
29	11	26
30	11	26
31	12	26
32	12	25
33	12	25
34	13	24
35	13	24
36	13	23
37	14	23
38	14	22
39	14	22
40	15	22
41	15	21
42	15	21
43	16	20
44	16	20
45	17	19
46	17	19
47	17	19
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	11
69	25	10
70	25	10
71	25	10
72	26	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	33	0
98	33	0
99	34	0
